description,brand,category
"Nutritional drink or shake, ready-to-drink (Boost)",Unknown,Nutritional beverages
"CHOCOLATE CHIP COOKIE MIX, CHOCOLATE CHIP","Big Y Foods, Inc.","Cake, Cookie & Cupcake Mixes"
"GUARANA SODA, GUARANA, GUARANA",Lakeside Lures,Soda
"KEY FOOD, WAFFLES, HOMESTYLE","Key Food Stores Co-Operative, Inc.","Frozen Pancakes, Waffles, French Toast & Crepes"
SANDWICH ENRICHED BREAD,Schmidt Baking Company,Breads & Buns
"COMBINATION SAUSAGE AND PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLZ, SAUSAGE AND PEPPERONI","Giant Eagle, Inc.",Pizza
BASIL AIOLI SANDWICH SPREAD,Hormel Foods Corporation ,Salad Dressing & Mayonnaise
"COOKIES & CREAM SUNDAE PREMIUM ICE CREAM CAKE, COOKIES & CREAM",Rich Products Corporation,Ice Cream & Frozen Yogurt
"ORIGINAL GELATIN SNACKS, STRAWBERRY",Kraft Heinz Foods Company,"Gelatin, Gels, Pectins & Desserts"
"STUFFING BREAD, STUFFING",Schwebel Baking Company,Stuffing
"CAFFEINE FREE CREAM SODA, CREAM","Publix Super Markets, Inc.",Soda
GUMMY CANDY HEARTS,"Frankford Candy, LLC",Candy
"CHOCOLATE ORGANIC FROSTING, CHOCOLATE","Wholesome Sweeteners, Inc.",Baking Decorations & Dessert Toppings
"APRICOT ENERGY BARS, APRICOT",Clif Bar and Company,"Snack, Energy & Granola Bars"
"GHIRARDELLI CHOCOLATE, CHOCOLATE, ASSORTED, ASSORTED",Ghirardelli Chocolate Company,Chocolate
"WHEAT BREAD, HONEY",Bi-Lo Inc.,Breads & Buns
"BREAD & BUTTER CHIPS, BREAD & BUTTER",Pinnacle Foods Group LLC,"Pickles, Olives, Peppers & Relishes"
"PERRY'S ICE CREAM, ESCAPES, ICE CREAM, PIECE OF CAKE, PIECE OF CAKE","Perry's Ice Cream Company, Inc.",Ice Cream & Frozen Yogurt
"SODA, CITRUS GRAPEFRUIT","Dr. Pepper/Seven Up, Inc.",Soda
"HOMEKIST, OATMEAL COOKIES","Vista Bakery, Inc.",Cookies & Biscuits
"V8 +Energy Pomegranate Blueberry Juice Energy Drink, 8 fl oz Can (24 Pack)",CAMPBELL SOUP COMPANY,Non Alcoholic Beverages - Ready to Drink
"CREAM SODA, CREAM",International Trademarks Inc.,Soda
"MANGO ICE CREAM, MANGO",Mike Natural Foods LLC,Ice Cream & Frozen Yogurt
"COOKIE PARFAIT WITH COOKIES 'N CREME WHIPPED TOPPING, COOKIES 'N CREME",Rich Products Corporation,Cookies & Biscuits
SODA,"Real Soda in Real Bottles, Ltd",Soda
"PUDDING SNACKS, CHOCOLATE FUDGE",McIlhenny Company,Puddings & Custards
"BLUE ICE ENERGY DRINK, BLUE ICE",G FUEL,Soda
SEASONED STRAIGHT CUT FRENCH FRIES,"Tops Markets, LLC","French Fries, Potatoes & Onion Rings"
"PREMIUM PEPPERONI PIZZA GARLIC BUTTERY CRUST SANDWICHES, PEPPERONI PIZZA",Nestle USA Inc.,Pizza
"CHOCOLATE CHIP COOKIE DOUGH BARS, CHOCOLATE CHIP","Only What You Need, Inc.","Snack, Energy & Granola Bars"
"Fried stuffed potatoes, Puerto Rican style",Unknown,Mashed potatoes and white potato mixtures
"HOT POCKETS, CROISSANT POCKETS Chicken, Broccoli, and Cheddar Stuffed Sandwich, frozen",Unknown,"Meals, Entrees, and Side Dishes"
POTATO CHIPS,Frito-Lay Company,"Chips, Pretzels & Snacks"
GOLDEN CRINKLE CUT FRIES,Brookshire Grocery Company,"French Fries, Potatoes & Onion Rings"
4 CHEESE MEDLEY PIZZA,The Schwan Food Company,Pizza
"Baby Toddler peaches, Stage 1",Unknown,Baby food: fruit
ALOE VERA DRINK,"Dindon Foods Corp.,","Fruit & Vegetable Juice, Nectars & Fruit Drinks"
"CINNAMON ICE CREAM, CINNAMON",Target Stores,Ice Cream & Frozen Yogurt
PROBIOTICS SPARKLING DRINK,Nextfoods LLC,Other Drinks
"ELEVATED COGNITION 0 CAL DIETARY SUPPLEMENT ORIGINAL ENERGY DRINK, ORIGINAL","Punahele Provisions, PBC",Other Drinks
CANDY CANES,MIDWOOD BRANDS,Candy
"ALMOND COOKIE FLAVORED PROTEIN BARS, ALMOND COOKIE","PepsiCo, Inc. (CytoSport)","Snack, Energy & Granola Bars"
"SNACKS, DILL PICKLE",Nabisco Biscuit Company,Crackers & Biscotti
APRICOT ENERGY BAR,Kid Vids Educational Entertainment,"Snack, Energy & Granola Bars"
"CANDY APPLE CRISP ENERGY DRINK, CANDY APPLE CRISP","Vital Pharmaceuticals, Inc.",Soda
STRIP CRACKLINS,"Turkey Creek Pork Skins, Inc.",Other Snacks
LACTATION COOKIES,BOOBY BOONS,Cookies & Biscuits
MIXED FRUIT CANDIES,Allied International Corp. Of Va,Candy
"CALBEE, POTATO CHIPS","Calbee North America, LLC","Chips, Pretzels & Snacks"
"Candies, taffy, prepared-from-recipe",Unknown,Sweets
SANDWICH TOPPERS KOSHER DILL,Unknown,"Pickles, Olives, Peppers & Relishes"
CHEWY CANDY,Ferrara Candy Company,Candy
"ARIZONA SNACK COMPANY, GUMMI WORMS","Lehi Valley Trading Company, Inc.",Candy
"STRAWBERRY FLAVORED SODA, STRAWBERRY","Wal-Mart Stores, Inc.",Soda
"CANDY FILLED EGGS, CANDY FILLED",Ross Acquisition Inc.,Candy
GOLDEN WAFFLE FRIES,Brookshire Grocery Company,"French Fries, Potatoes & Onion Rings"
CANDY,"Entertainment Retail Enterprises, LLC ",Candy
"CHICKEN BURGERS, CHICKEN",Fieldale Farms Corp.,"Poultry, Chicken & Turkey"
"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",Unknown,Dairy and Egg Products
EVERYDAY  ITALIAN STYLE SNACK,"Fratelli Beretta, Usa, Inc.","Pickles, Olives, Peppers & Relishes"
"GOOD ENERGY DRINK, CLEMENTINE TWIST","Sunshine Beverages, LLC",Soda
"PREMIUM ICE CREAM, STRAWBERRY",Edaleen Dairy Products,Ice Cream & Frozen Yogurt
"MOCHA ENERGY COFFEE, MOCHA",Monster Energy Company,Other Drinks
"BEEF SNACK BITES, BEEF",Bridgford Foods Corporation,Other Snacks
"CHICK'N PLANT BASED PATTIES, CHICK'N","Wal-Mart Stores, Inc.",Frozen Patties and Burgers
ULTIMATELY BOLD SNACK MIX,"Winn-Dixie Stores, Inc.",Other Snacks
"Babyfood, cereal, high protein, prepared with whole milk",Unknown,Baby Foods
"Pizza with pepperoni, from school lunch, thin crust",Unknown,Pizza
FRUIT & NUT SNACK PACK,"Ahold USA, Inc. ",Lunch Snacks & Combinations
"SODA, OMAZING ORANGE",Food Town Stores Inc.,Soda
"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",Unknown,"Chicken, whole pieces"
DEEP DISH SEASONED BEEF PIZZA,"The Dish, Inc",Pizza
"FRIED BEAN CHEESE BURRITO, FRIED BEAN CHEESE",Speedway LLC,Prepared Wraps and Burittos
"GRAPE ESSENTIAL AMIN.O. ENERGY SPARKLING HYDRATION DRINK, GRAPE","Optimum Nutrition, Inc.",Soda
"Carrots, cooked, as ingredient",Unknown,Not included in a food category
"KALE, MUSHROOM & FETA CHEESE PIZZA",Glencourt Inc.,Other Deli
TOMATO DRINK,HORTEX,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
"CHOCOLATE SPRINKLES, CHOCOLATE","Big Y Foods, Inc.",Baking Decorations & Dessert Toppings
"Elk, free range, ground, cooked patties (Shoshone Bannock)",Unknown,American Indian/Alaska Native Foods
"HOMEMADE ICE CREAM, VANILLA","Iga, Inc.",Ice Cream & Frozen Yogurt
"CREAM CHEESE SANDWICH CRACKERS, CREAM; CHEESE",Nabisco Biscuit Company,Crackers & Biscotti
"CHICKEN FRIED RICE GRILLED CHICKEN WHITE MEAT AND COLORFUL VEGETABLES IN AUTHENTIC SEASONED LONG GRAIN RICE ENTREE, CHICKEN FRIED RICE","Innovasian Cuisine Enterprises, LLC",Frozen Dinners & Entrees
ICE CREAM,FRESH & EASY,Ice Cream & Frozen Yogurt
"IHOP AT HOME, FLATBREAD BREAKFAST SANDWICH","Golden County Foods, Inc.","Frozen Breakfast Sandwiches, Biscuits & Meals"
"Babyfood, banana juice with low fat yogurt",Unknown,Baby Foods
"CHOCOLATE MOUSSE CAKE, CHOCOLATE","Global 13 Publications, Inc","Cakes, Cupcakes, Snack Cakes"
"4-MEAT PIZZA SAUSAGE, BACON, CANADIAN STYLE BACON & PEPPERONI PIZZA, 4-MEAT PIZZA","Bernatello's Pizza, Inc.",Pizza
"BEEF FRIED RICE WITH RED PEPPER, SPINACH AND EGG, FLAVORED WITH AN OYSTER-FLAVORED SAUCE, BEEF",Conagra Frozen Foods,Frozen Prepared Sides
"CHEESY PIZZA BAKED CHEESE, CHEESY PIZZA","Cheeses of Wisconsin, LLC",Other Deli
WHITE ENRICHED BREAD,Martin's Super Markets,Breads & Buns
"COOKIES, PEANUT BUTTER","7-Eleven, Inc.",Cookies & Biscuits
SANDWICH COOKIES,"Wal-Mart Stores, Inc.",Cookies & Biscuits
BREAD & MUFFIN MIX,"Continental Mills, Inc.",Bread & Muffin Mixes
"VEMBANADU FOODS, KERALA MIXTURE",VEMBANADU FOODS,Other Snacks
"Beverages, Cocoa mix, no sugar added, powder",Unknown,Beverages
"CHOCOLATE BROWNIE FUDGY BAKED WITH CHOCOLATE CHIPS, CHOCOLATE","Dawn Food Products, Inc. ","Cakes, Cupcakes, Snack Cakes"
"ICE CREAM, VANILLA","Associated Wholesale Grocers, Inc.",Ice Cream & Frozen Yogurt
CHOCOLATE,AgriMissouri,Chocolate
"LOWES FOODS, TOMATO SAUCE","Lowe's Food Stores, Inc.",Tomatoes
"MINI SANDWICHES, VANILLA ICE CREAM","Key Food Stores Co-Operative, Inc.",Ice Cream & Frozen Yogurt
"Fast foods, hamburger; single, regular patty; plain",Unknown,Fast Foods
"Chicken fillet sandwich, grilled, from fast food, with cheese",Unknown,Chicken fillet sandwiches
FROSTED SUGAR COOKIES,CREATE A TREAT,Cookies & Biscuits
"Muffin, fruit, low fat",Unknown,"Biscuits, muffins, quick breads"
"WAGYU BEEF PATTIES, WAGYU BEEF","Wal-Mart Stores, Inc.",Other Meats
"MINT CHOCOLATE CHIP COOKIES, MINT CHOCOLATE CHIP","Tate's Bake Shop, Inc.",Cookies & Biscuits
"STRAWBERRY MILKSHAKE CEREAL, STRAWBERRY MILKSHAKE","President Baking Company, Inc.",Cereal
"Onions, for use on a sandwich",Unknown,Vegetables on a sandwich
"PEACH MANGO SPARKLING ORGANIC ENERGY DRINK, PEACH MANGO",Mati Inc.,Soda
"Wonton, dumpling or pot sticker, fried",Unknown,"Egg rolls, dumplings, sushi"
"MARKETS OF MEIJER, DON JUAN FRESH MARCONA ALMONDS FRIED IN OLIVE OIL",MARKETS OF MEIJER,"Popcorn, Peanuts, Seeds & Related Snacks"
PRETZEL MELT SANDWICHES,AdvancePierre Foods Inc.,Frozen Appetizers & Hors D'oeuvres
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",Unknown,Dairy and Egg Products
"COOKIE THIN DOUBLE LAYER OF CHOCOLATE CHIP COOKIE BARS, COOKIE THIN",Shakespeare Flowers,Cookies & Biscuits
GOLDEN FRIES FROZEN FRENCH FRIED POTATOES,Kraft Heinz Foods Company,"French Fries, Potatoes & Onion Rings"
"BURGERS CRAFT BLEND BEEF FROM THE FINEST CUTS, BEEF","Golden West Trading, Inc.",Other Meats
GIANT SANDWICH ENRICHED BREAD,"Bimbo Bakeries USA, Inc.",Breads & Buns
"CANDY CANE FLAVOURED MARSHMALLOW CHICKS, CANDY CANE","Just Born, Inc.",Candy
DIET DR LOU SODA,"Schnuck Markets, Inc.",Soda
HOME STYLE DICED HOME FRIES,Bob Evans Farms Inc,"Entrees, Sides & Small Meals"
"COOKIES & CREAM PREMIUM ICE CREAM, COOKIES & CREAM","Mayfield Dairy Farms, Inc.",Ice Cream & Frozen Yogurt
CINNAMON BREAD,CINNABON,Breads & Buns
"CHOCOLATE WAFER BITES, CHOCOLATE",Rokachman L.T.D.,Cookies & Biscuits
"Carbonated beverage, chocolate-flavored soda",Unknown,Beverages
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",Unknown,Beverages
"Tyson Fast Finish Fully Cooked Coated Bone-In Chicken Wing Sections, Jumbo",Tyson Foods Inc.,Meat/Poultry/Other Animals - Prepared/Processed
"CHOCOLATE CHIP CAKES FRENCH DOONUTS, CHOCOLATE CHIP CAKES",STMICHEL,"Cakes, Cupcakes, Snack Cakes"
"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",Unknown,Fast Foods
"SOUTHERN STYLE BREADED CHICKEN FILLETS, SOUTHERN STYLE",H E Butt Grocery Company,Frozen Patties and Burgers
"CHOCOLATE CHIP PREMIUM ICE CREAM, CHOCOLATE CHIP",Friendly Ice Cream Corp.,Ice Cream & Frozen Yogurt
"DARK CHOCOLATE TRUFFLES, DARK CHOCOLATE","Safeway, Inc.",Chocolate
"Cookies, graham crackers, chocolate-coated",Unknown,Baked Products
"Soft drink, cream soda",Unknown,Soft drinks
CORN CHIPS CUPZ,The Kroger Co.,"Chips, Pretzels & Snacks"
MINI ICE CREAM SANDWICHES,Thelma's LLC,Other Frozen Desserts
"MANGO LIGHT ICE CREAM, MANGO",Good Humor-Breyers Ice Cream,Ice Cream & Frozen Yogurt
CLASSIC SUPREME PIZZA,The Schwan Food Company,Pizza
"Pizza, cheese, with vegetables, from restaurant or fast food, thick crust",Unknown,Pizza
"FRENCH SPARKLING SODA, SICILIAN LEMON",Raley's,Soda
SALTED CASHEWS SNACKS,"Fabrizio, Usa","Popcorn, Peanuts, Seeds & Related Snacks"
FROZEN SUPREME PIZZA,"WaffleWaffle, LLC.",Pizza
"COOKIES, CHOCOLATE CHIP",Frito-Lay Company,Cookies & Biscuits
"Banquet Original Crispy Fried Chicken Assorted Pieces, Frozen Chicken, 42 oz.","Conagra Brands, Inc",Meat/Poultry/Other Animals - Prepared/Processed
HOLIDAY TORTILLA CHIPS,"Hy-Vee, Inc.","Chips, Pretzels & Snacks"
"FRIED RICE WITH PEAS & CARROTS, PEAS & CARROTS",Uncle Ben's Inc.,"Entrees, Sides & Small Meals"
"CRISPY VEGAN JACKFRUIT PATTIES, CRISPY","Global Village Fruits, Inc",Frozen Patties and Burgers
WHITE SAUSAGE & PEPPERONI PIZZA,"Schnuck Markets, Inc.",Pizza
"BURGER KING, Hash Brown Rounds",Unknown,Fast Foods
"BURGER CHIPS, HOT & SPICY",Mr. Beverages Old Time Cocktail Mixes,"Pickles, Olives, Peppers & Relishes"
PREMIUM ICE CREAM,"Wegmans Food Markets, Inc. ",Ice Cream & Frozen Yogurt
"SWEET ENERGY TRAIL, SWEET","Lehi Valley Trading Company, Inc.","Popcorn, Peanuts, Seeds & Related Snacks"
"ICE CREAM CUPS, VANILLA","Finlay Extracts & Ingredients USA, Inc.",Ice Cream & Frozen Yogurt
"LOFTHOUSE, COOKIES",Lofthouse Foods,Cookies & Biscuits
CITRUS SODA,SKI,Soda
"MANCHEGO & GARLIC PIZZA SAUCE, MEDIUM","Urban Accents, Incorporated",Prepared Pasta & Pizza Sauces
AdvancePierre Fully Cooked Flamebroiled Beef Steak Burgers,Tyson Foods Inc.,Meat/Poultry/Other Animals - Prepared/Processed
COOKIE BUTTER AND BREADSTICKS SNACK PACKS,Corona - Lotus N.V.,Crackers & Biscotti
JUICE DRINK,Snapple Beverage Corp.,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
"KEY FOOD, STEWED SLICED TOMATOES","Key Food Stores Co-Operative, Inc.",Tomatoes
"UNCURED PEPPERONI FLATBREAD PIZZA, PEPPERONI",Blount Seafood Corporation ,Pizza
"COOKIES, CHOCOLATE CHIP, CHOCOLATE CHIP","Associated Wholesale Grocers, Inc.",Cookies & Biscuits
BACK TO SCHOOL SNACK CAKES,McKee Foods Corporation,"Cakes, Cupcakes, Snack Cakes"
"CHOCOLATE CHIP PROBIOTIC BARS, CHOCOLATE CHIP",Belli Welli inc.,"Snack, Energy & Granola Bars"
PREMIUM ICE CREAM,"Tropicale Foods, Inc.",Ice Cream & Frozen Yogurt
CANDY PANELA,"G. T. Japan, Inc.","Granulated, Brown & Powdered Sugar"
"TOMATO & BASIL PIZZA BURGER ITALIAN-STYLE WITH MOZZARELLA, TOMATOES & BASIL, TOMATO & BASIL PIZZA",Worthington Foods Inc.,Frozen Patties and Burgers
"SUNKIST, SODA, ORANGE, ORANGE","Dr. Pepper/Seven Up, Inc.",Soda
"MEGA SNACKS, WHITE CHEDDAR","Sunshine Biscuits, Inc.",Other Snacks
"CRINKLE CUT FRENCH FRIED POTATOES, CRINKLE CUT","Associated Wholesale Grocers, Inc.","French Fries, Potatoes & Onion Rings"
NEOPOLITAN PIZZA SAUCE,TRZ Marketing,Prepared Pasta & Pizza Sauces
"SODA, GINGER ALE",Food Town Stores Inc.,Soda
Egg white sandwich,Unknown,Egg/breakfast sandwiches
PREMIUM ICE CREAM,Harris-Teeter Inc.,Ice Cream & Frozen Yogurt
"COOKIES, CRANBERRY",Grebe's Bakeries Inc.,Cookies & Biscuits
"ENERGY DRINK, LIMEADE","Red Bull North America, Inc.",Soda
"SEASONED & CURED PORK RIB WITH APPLE MAPLE BOURBON BBQ SAUCE, APPLE MAPLE BOURBON",Burgers' Ozark Country Cured Hams,Cooked & Prepared
"CHOCOLATE & DOUBLE CHOCOLATE CHIP ICE CREAM COOKIE SANDWICHES, CHOCOLATE; CHOCOLATE CHIP",Turkey Hill Dairy Inc.,Ice Cream & Frozen Yogurt
"Double cheeseburger, on white bun, 2 medium patties",Unknown,Burgers
BREADED NUGGETS,"Noxubee County Producers, Inc.",Frozen Appetizers & Hors D'oeuvres
AIR FRIED FISH FILLETS,Gorton's of Gloucester ,Frozen Fish & Seafood
"Potato, scalloped, NFS",Unknown,Mashed potatoes and white potato mixtures
FIBER SNACKS,Happy & Healthy Products Inc.,"Popcorn, Peanuts, Seeds & Related Snacks"
"WORKOUT ENERGY POWDERED DRINK MIX, CRAN-RAZ",The UCAN Company,"Energy, Protein & Muscle Recovery Drinks"
"FESTY, SANDWICH COOKIES, VANILLA","AbiMar Foods, Inc.",Cookies & Biscuits
TYPICAL ITALIAN SALTED SNACK,TERRE DI PUGLIA,"Chips, Pretzels & Snacks"
"DIGIORNO Pizza, cheese topping, thin crispy crust, frozen, baked",Unknown,Fast Foods
"CHOCOLATE LOWFAT MILK, CHOCOLATE",Nestle USA Inc.,Milk
"CANDY, RICH BUTTERSCOTCH","Montes Y Cia, S.A. De C.V.",Candy
"TURKEY BURGERS, SWISS CHEESE AND MUSHROOM",Cargill Incorporated/Honeysuckle White,Frozen Patties and Burgers
THE BEST FRIENDS SNACK BOX,Lunch Box Heroes,Pre-Packaged Fruit & Vegetables
BISON PATTIES,"Golden Bison Co., LLC",Frozen Patties and Burgers
"AMERICANA, CREAM SODA, ORANGE, ORANGE",Orca Beverage Co.,Soda
"MILK CHOCOLATE, DARK CHOCOLATE, CARAMEL & MILK CHOCOLATE PUMPKINS PROMISES, MILK CHOCOLATE, DARK CHOCOLATE, CARAMEL & MILK CHOCOLATE",Mars Chocolate North America LLC,Chocolate
"CHOCOLATE PUDDING CUP, CHOCOLATE","Hy-Vee, Inc.",Puddings & Custards
REGULAR CUT FRIES,"Unified Grocers, Inc.","French Fries, Potatoes & Onion Rings"
"Cookies, chocolate chip, commercially prepared, soft-type",Unknown,Baked Products
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched",Unknown,Snacks
"MIXED BERRY HEALTHY ENERGY DRINK, MIXED BERRY","Simulate, Inc.",Soda
"YAKITORI CHICKEN JAPANESE-STYLE GRILLED CHICKEN, EDAMAME, CORN, LEEKS, CARROTS AND PEAS IN A SAVORY SAUCE FRIED RICE, YAKITORI CHICKEN","Innovasian Cuisine Enterprises, LLC",Frozen Dinners & Entrees
"CHICHARRONES PORK CRACKLINGS, CHICHARRONES",Mesa Meat Processors Corp.,Other Snacks
KING NEAPOLITAN SANDWICH,Kemps LLC ,Ice Cream & Frozen Yogurt
"FLAVORED SODA, CITRUS",Coca-Cola USA Operations,Soda
"CONFETTI COOKIE GELATO LAYERS, COOKIE",Conopco Inc.,Ice Cream & Frozen Yogurt
ICE CREAM,Walgreens Co.,Ice Cream & Frozen Yogurt
"LOTZZA MOTZZA SAUSAGE PIZZA, SAUSAGE","Bernatello's Pizza, Inc.",Pizza
"DRINK MIX, STRAWBERRY",Nestle USA Inc.,Powdered Drinks
"STRAWBERRY SODA, STRAWBERRY","Iga, Inc.",Soda
"THE SEAWEED SNACK, MAUI ONION",New Frontier Foods Inc. ,Other Snacks
BREADED BUTTERFLY SHRIMP,Quirch Foods Company,Frozen Fish & Seafood
"FROSE ROSE POTENT MIND & MUSCLE FUEL ENERGY DRINK, FROSE ROSE","Vital Pharmaceuticals, Inc.",Soda
BLUEBERRY BREAD,Ikelite,Breads & Buns
FRUIT CANDY,Ferrara Candy Company,Candy
"BOURBON, BAKED COOKIES",BOURBON,Cookies & Biscuits
"CHEDDAR PASTEURIZED SNACK CHEESE, CHEDDAR",Berner Food & Beverage Inc.,Cheese
"ITALIAN SAUSAGE RAVIOLI, ITALIAN SAUSAGE",Buitoni Food Company,Pasta by Shape & Type
"SUNSHINE, ENERGY DRINK, CLEMENTINE TWIST, CLEMENTINE TWIST","Healthy Sweets, Inc.",Other Drinks
"KEY FOOD, SWEETENED SNOWFLAKE COOCNUT","Key Food Stores Co-Operative, Inc.",Baking Additives & Extracts
"PREMIUM ICE CREAM, COCONUT",Valentini Italian Specialties Co.,Ice Cream & Frozen Yogurt
"CHOCOLATE CHIP MINI MUFFINS, CHOCOLATE CHIP","Meijer, Inc.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"XOCOROSA ICE CREAM, XOCOROSA",Jeni's Splendid Ice Creams ,Ice Cream & Frozen Yogurt
EUROPEAN SHORTBREAD COOKIES,"Wal-Mart Stores, Inc.",Cookies & Biscuits
"SANDWICH COOKIES, ASSORTED CREME","Bruno's Supermarkets, Inc.",Cookies & Biscuits
"ENERGY DRINK, PLUM TWIST","Red Bull North America, Inc.",Soda
"DRINK MIX, VANILLA",Nestle USA Inc.,Powdered Drinks
"CHOCOLATE RUGELACH, CHOCOLATE",Reisman Bros Bakery,"Cakes, Cupcakes, Snack Cakes"
" FRIED ONION RING POTATO CRISPS, FRIED ONION",The Kellogg Company ,"Chips, Pretzels & Snacks"
"NICKELODEON, CHOCOLATY CANDY","Frankford Candy, LLC",Candy
SNACK BOX,FRESH & EASY,Lunch Snacks & Combinations
"TEDDY ASSORTED CHOCOLATES, MILK CHOCOLATE TEDDY FRIENDS, MILK CHOCOLATE TRUFFLES, CHOCOLATE BALLS, DOUBLE MILK CHOCOLATE BALLS, WHITE CHOCOLATE TRUFFLES, MILK CHOCOLATE TEDDY, MILK CHOCOLATE SANTA, CHOCOLATE TEDDY, MILK CHOCOLATE SNOWMAN",Lindt & Sprungli (Schweiz) AG,Chocolate
"Tea, iced, bottled, black, unsweetened",Unknown,Tea
COOKIE DOUGH,"Iga, Inc.",Crusts & Dough
"THAI STYLE TURKEY PATTIES, THAI STYLE","TRIBALÍ FOODS, Inc. ",Frozen Patties and Burgers
"CHOCOLATE CAKE, CHOCOLATE","President Baking Company, Inc.","Cakes, Cupcakes, Snack Cakes"
"GK SNACKS, TROPICAL MIX",A L Schutzman Company Inc,"Popcorn, Peanuts, Seeds & Related Snacks"
"BUBBIES, TIRAMISU MOCHI ICE CREAM",Bubbies Homemade Ice Cream & Desserts,Ice Cream & Frozen Yogurt
"Candies, MARS SNACKFOOD US, DOVE Dark Chocolate",Unknown,Sweets
"Snacks, bagel chips, plain",Unknown,Snacks
ENERGY BLEND TRAIL MIX,"Star Snacks Co., Inc.","Popcorn, Peanuts, Seeds & Related Snacks"
"ONE SMART COOKIE, PEANUT BUTTER CHOCOLATE CHUNK COOKIES","Jimmy's Cookies, LLC",Cookies & Biscuits
"LEMON GINGER SUPERCHARGED ENERGY MULTIPLIER DRINK MIX, LEMON GINGER",The LIV Group Inc. ,Powdered Drinks
"Soup, New England clam chowder",Unknown,"Soups, cream-based"
"AHOLD, RASPBERRY & CREME SANDWICH COOKIES, NATURALLY FLAVORED RASPBERRY & CREME SANDWICH COOKIES, NATURALLY FLAVORED RASPBERRY & CREME SANDWICH COOKIES","Ahold USA, Inc. ",Cookies & Biscuits
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",Unknown,Cheese sandwiches
"WAKIMS FOODS, HOMMUS WITH VEGETABLES",Wakim's Foods,Dips & Salsa
"GRATEFUL BREAD, MULTI-GRAIN SOURDOUGH BREAD","Artim Enterprises, Inc.",Breads & Buns
"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted",Unknown,Baby Foods
"COOKIES & CREME ICE CREAM BARS, COOKIES & CREME","Mars, Inc.",Ice Cream & Frozen Yogurt
"SNACKS, CHEESE",Frito-Lay Company,Other Snacks
"COLA ZERO SUGAR SODA, COLA","Safeway, Inc.",Soda
COOKIE KIT,Xcell International Corp,"Cake, Cookie & Cupcake Mixes"
HALVES & PIECES PECANS WHOLESOME SNACKS,"Tops Markets, LLC","Popcorn, Peanuts, Seeds & Related Snacks"
Chex Mix Traditional Snack Mix,GENERAL MILLS SALES INC.,Snacks
"KEY FOOD, SNACK WHEATS CRACKERS","Key Food Stores Co-Operative, Inc.",Crackers & Biscotti
"SEASONED STRIPS FRIED PORK SKINS, SEASONED STRIPS",BEMAR SNACKS INC.,Other Snacks
BREAD,Multicom Publishing Incorporated,Breads & Buns
CURLY Q'S CHICHARRONES FRIED PORK SKINS,"UTZ Quality Foods, LLC",Other Snacks
"JOHNVINCE FOODS, ALMONDS, HICKORY, HICKORY","Jo-Lee Food Products, Inc.","Popcorn, Peanuts, Seeds & Related Snacks"
"CHOCOLATE CHIP TRULY COOKIES, CHOCOLATE CHIP",Food City,Cookies & Biscuits
"Cookies, oatmeal, dry mix",Unknown,Baked Products
"LOWELL FOODS, BUENA CARROTENA NECTAR",Lowell International Company,"Fruit & Vegetable Juice, Nectars & Fruit Drinks"
PURIFIED DRINKING WATER,"Safeway, Inc.",Water
"CHOCOLATE INSTANT PUDDING, CHOCOLATE","Tops Markets, LLC",Puddings & Custards
"ORANGE SODA, ORANGE",Briar's U.S.A.,Soda
"CHEESE FLAVORED PUFFS SNACKS, CHEESE",Frito-Lay Company,Other Snacks
"CRAN-RAZZ ENERGY CHEWS, CRAN-RAZZ",Clif Bar and Company,"Snack, Energy & Granola Bars"
DOUBLE SQUEEZE CANDY,"A & A Global Industries, Inc.",Soda
ICE CREAM CUPS,Target Stores,Crackers & Biscotti
"GALACTIC BROWNIES WITH CHOCOLATE CANDIES, CHOCOLATE CANDIES",MAGDALENAS LAZARO S.A.,"Cakes, Cupcakes, Snack Cakes"
"MINI SNACK PIES, CHOCOLATE","Tops Markets, LLC","Cakes, Cupcakes, Snack Cakes"
"CHOCOLATE DONUT STICKS, CHOCOLATE","Detroit City Dairy, Inc.","Cakes, Cupcakes, Snack Cakes"
"GRAPE CANDY, GRAPE",Nestle USA Inc.,Candy
"SWEET BREAD & BUTTER PICKLE CHIPS, SWEET BREAD & BUTTER","Wegmans Food Markets, Inc. ","Pickles, Olives, Peppers & Relishes"
"CHEESY PIZZA REMIX SNACK MIX, CHEESY PIZZA","General Mills, Inc.",Other Snacks
"GUMMY CANDY, WATERMELON",JFC International Inc.,Candy
